iter	Passed	Remaining
632	1695	983
633	1698	980
634	1701	977
635	1703	975
636	1706	972
637	1708	969
638	1710	966
639	1713	963
640	1716	961
641	1718	958
642	1721	955
643	1725	953
644	1727	950
645	1730	948
646	1733	945
647	1734	942
648	1737	939
649	1739	936
650	1741	933
651	1744	930
652	1746	927
653	1748	924
654	1750	921
655	1752	919
656	1754	916
657	1757	913
658	1759	910
659	1763	908
660	1765	905
661	1767	902
662	1769	899
663	1772	897
664	1775	894
665	1778	891
666	1780	888
667	1783	886
668	1785	883
669	1788	880
670	1790	877
671	1792	875
672	1795	872
673	1799	870
674	1802	867
675	1805	865
676	1807	862
677	1810	859
678	1812	857
679	1816	854
680	1819	852
681	1821	849
682	1824	846
683	1826	843
684	1828	841
685	1832	838
686	1834	835
687	1837	833
688	1839	830
689	1841	827
690	1844	824
691	1847	822
692	1849	819
693	1853	817
694	1856	814
695	1858	811
696	1860	808
697	1862	805
698	1864	803
699	1867	800
700	1871	798
701	1874	795
702	1877	793
703	1879	790
704	1881	787
705	1884	784
706	1886	781
707	1888	778
708	1890	775
709	1892	772
710	1895	770
711	1898	767
712	1900	765
713	1903	762
714	1906	759
715	1909	757
716	1912	754
717	1915	752
718	1918	749
719	1920	746
720	1923	744
721	1926	741
722	1928	738
723	1931	736
724	1934	733
725	1937	731
726	1940	728
727	1942	725
728	1945	723
729	1949	720
730	1951	718
731	1953	715
732	1956	712
733	1959	710
734	1961	707
735	1964	704
736	1965	701
737	1969	699
738	1972	696
739	1974	693
740	1977	691
741	1980	688
742	1982	685
743	1984	682
744	1987	680
745	1989	677
746	1992	674
747	1993	671
748	1996	668
749	1998	666
750	2000	663
751	2002	660
752	2004	657
753	2007	654
754	2009	652
755	2011	649
756	2014	646
757	2017	643
758	2020	641
759	2023	639
760	2027	636
761	2030	634
762	2032	631
763	2035	628
764	2038	626
765	2041	623
766	2044	621
767	2046	618
768	2049	615
769	2050	612
770	2054	610
771	2057	607
772	2060	604
773	2062	602
774	2064	599
775	2067	596
776	2068	593
777	2071	591
778	2074	588
779	2076	585
780	2080	583
781	2083	580
782	2085	578
783	2087	575
784	2089	572
785	2092	569
786	2094	566
787	2096	564
788	2098	561
789	2101	558
790	2104	555
791	2106	553
792	2108	550
793	2112	547
794	2114	545
795	2117	542
796	2120	540
797	2122	537
798	2124	534
799	2126	531
800	2130	529
801	2133	526
802	2136	524
803	2137	521
804	2139	518
805	2141	515
806	2144	512
807	2146	509
808	2147	507
809	2150	504
810	2152	501
811	2154	498
812	2157	496
813	2159	493
